Instrument,Action,Quantity,Price,Time,ID,E/X,Position,Order ID,Name,Commission,Rate,Account,Connection,
MES 06-23,Sell,1,4169.25,5/23/2023 2:16:59 PM,2f4fdf57e5d643e9a56503dfbbf109cd,Entry,1 S,eb6fd5baf1e54943acd66d9dd5d8fdcc,Entry,$0.00,1,Sim101,My NinjaTrader,
MES 06-23,Buy,1,4158.25,5/23/2023 2:26:28 PM,eb07c1c39d524fa38813efd83eaa5b8f,Exit,-,4c06c30bb2794e12b4ce3028562999ae,Stop1,$0.00,1,Sim101,My NinjaTrader,
MES 09-23,Buy,1,4493.75,8/14/2023 11:18:46 AM,fdfa1eb1bedb4a8ea141ca8064a9eab5,Entry,1 L,50622ed736074c2d82e9b845f1f4dca6,Entry,$0.00,1,Sim101,My NinjaTrader,
MES 09-23,Sell,1,4494.25,8/14/2023 12:12:50 PM,36e6ed373c3c4fbda41992a1e067bb53,Exit,-,8c53a4bfe07b4c529e40bd9b4f6ada28,Stop1,$0.00,1,Sim101,My NinjaTrader,
MES 09-23,Sell,1,4497.25,8/14/2023 12:59:25 PM,b3f3171a22904fc7a1b12e22870a8ba0,Entry,1 S,e8a433f2cce44b6bbc6fe0505cbf7b04,Entry,$0.00,1,Sim101,My NinjaTrader,
MES 09-23,Buy,1,4496.75,8/14/2023 3:20:52 PM,808fb05400984dc7bc24a8b759dedf00,Exit,-,02b5ed5a1f294e758e43ce9e2a414575,Stop1,$0.00,1,Sim101,My NinjaTrader,
MNQ 12-23,Sell,1,14451.75,10/31/2023 2:32:18 PM,b8557efa802345879e340cc19b7bbd47,Entry,1 S,65377fcfb6b447f98f4013f3f693b4cb,Entry,$0.00,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,14457.75,10/31/2023 2:33:15 PM,dc43598fa4e24bcc8aed8f32eda38701,Entry,2 S,839299eb05554be8831e27aef8bfa211,Entry,$0.00,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,14464.25,10/31/2023 2:42:49 PM,223cac76754344b6af485cb5f4c2b941,Entry,3 S,16a2f5f30ffb41ed97dde2fda22646ec,Entry,$0.00,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Buy,1,14477.00,10/31/2023 2:48:08 PM,621382e6d48445169b3b2d4f6542caf2,Exit,2 S,d4e518959e794440b817aa9e2fd7097a,Stop1,$0.00,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Buy,1,14477.00,10/31/2023 2:48:08 PM,6896b4bed620484689f1e8d9c5e5adaf,Exit,1 S,e8387726cd444cbabd375779e46cf3b0,Stop1,$0.00,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Buy,1,14477.00,10/31/2023 2:48:08 PM,a8f53c76cb6a49be91e1f208ccc65771,Exit,-,c7405bd200e546e1bfab8864511b64cb,Stop1,$0.00,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Buy,1,14623.00,11/1/2023 2:30:13 PM,f2c1a27306ae40848e97be41276540ca,Entry,1 L,e33f38d4600f4dd299b5bcfd3150e88c,Entry,$0.00,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,14633.00,11/1/2023 2:31:26 PM,951571e0d7c84b2e90af4280400aec2e,Exit,-,846c75ea6d8c4e768808270310958708,Target1,$0.00,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Buy,1,14643.00,11/1/2023 2:36:15 PM,070d4aa1695b43a289c9916a535ad93a,Entry,1 L,a2d4b109436a4ed0ab9120bbccbcc47a,Entry,$0.00,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,14653.00,11/1/2023 2:36:35 PM,4cb3a83452dc4e6bb9c0d29036ce24a8,Exit,-,dfe8208013764a02a84fe73b11290ad4,Target1,$0.00,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Buy,1,14584.50,11/1/2023 2:44:51 PM,a32dcb2f8c0b42e09fb80f4fe7918393,Entry,1 L,e9235a46aebb4604a56f821c575b7081,Entry,$0.00,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,14594.50,11/1/2023 2:45:44 PM,961a3220903240f6947f5059f981314e,Exit,-,ed6e1a5cda954618beb1580c8275912b,Target1,$0.00,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,15565.25,11/13/2023 2:09:54 PM,e230f87df27b4dce8da84c01f8875ad7,Entry,1 S,baa689f4fcf64025b653dbec212b4522,Entry,$0.00,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Sell,1,15576.00,11/13/2023 2:23:21 PM,eddc2b3574fc44ed9f36c6a61fda16ea,Entry,2 S,0f10d3d252b74f5295f777c2dd116e86,Entry,$0.00,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Buy,1,15582.50,11/13/2023 2:25:27 PM,1b351a9caeee45289d898c8500a00d0b,Exit,1 S,bf33540c26434168a9fc86100b3aee89,Stop1,$0.00,1,SimPaperEdge,My NinjaTrader,
MNQ 12-23,Buy,1,15582.50,11/13/2023 2:25:27 PM,5ebd5d701e4c41428bc32ef13e6a0801,Exit,-,e684b8a9b1de4941bd46197113beb332,Stop1,$0.00,1,SimPaperEdge,My NinjaTrader,
