Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MES 06-23,Sim101,5pt ATM,Short,1,4169.25,4158.25,5/23/2023 2:16:59 PM,5/23/2023 2:26:28 PM,Entry,Stop1,$55.00,$55.00,$0.00,$0.00,$0.00,$0.00,$0.00,$2.50,$81.25,$26.25,0,
2,MES 09-23,Sim101,5pt ATM,Long,1,4493.75,4494.25,8/14/2023 11:18:46 AM,8/14/2023 12:12:50 PM,Entry,Stop1,$2.50,$57.50,$0.00,$0.00,$0.00,$0.00,$0.00,$6.25,$47.50,$45.00,0,
3,MES 09-23,Sim101,5pt ATM,Short,1,4497.25,4496.75,8/14/2023 12:59:25 PM,8/14/2023 3:20:52 PM,Entry,Stop1,$2.50,$60.00,$0.00,$0.00,$0.00,$0.00,$0.00,$25.00,$45.00,$42.50,0,
4,MNQ 12-23,SimPaperEdge,NQ - No Trail,Short,1,14451.75,14477.00,10/31/2023 2:32:18 PM,10/31/2023 2:48:08 PM,Entry,Stop1,($50.50),$9.50,$0.00,$0.00,$0.00,$0.00,$0.00,$51.50,$10.50,$61.00,0,
5,MNQ 12-23,SimPaperEdge,NQ - No Trail,Short,1,14457.75,14477.00,10/31/2023 2:33:15 PM,10/31/2023 2:48:08 PM,Entry,Stop1,($38.50),($29.00),$0.00,$0.00,$0.00,$0.00,$0.00,$39.50,$22.50,$61.00,0,
6,MNQ 12-23,SimPaperEdge,NQ - No Trail,Short,1,14464.25,14477.00,10/31/2023 2:42:49 PM,10/31/2023 2:48:08 PM,Entry,Stop1,($25.50),($54.50),$0.00,$0.00,$0.00,$0.00,$0.00,$26.50,$7.00,$32.50,0,
7,MNQ 12-23,SimPaperEdge,NQ - No Trail,Long,1,14623.00,14633.00,11/1/2023 2:30:13 PM,11/1/2023 2:31:26 PM,Entry,Target1,$20.00,($34.50),$0.00,$0.00,$0.00,$0.00,$0.00,$9.00,$20.50,$0.50,0,
8,MNQ 12-23,SimPaperEdge,NQ - No Trail,Long,1,14643.00,14653.00,11/1/2023 2:36:15 PM,11/1/2023 2:36:35 PM,Entry,Target1,$20.00,($14.50),$0.00,$0.00,$0.00,$0.00,$0.00,$5.00,$20.50,$0.50,0,
9,MNQ 12-23,SimPaperEdge,NQ - No Trail,Long,1,14584.50,14594.50,11/1/2023 2:44:51 PM,11/1/2023 2:45:44 PM,Entry,Target1,$20.00,$5.50,$0.00,$0.00,$0.00,$0.00,$0.00,$27.50,$21.00,$1.00,0,
10,MNQ 12-23,SimPaperEdge,NQ - No Trail,Short,1,15565.25,15582.50,11/13/2023 2:09:54 PM,11/13/2023 2:25:27 PM,Entry,Stop1,($34.50),($29.00),$0.00,$0.00,$0.00,$0.00,$0.00,$35.00,$13.00,$47.50,0,
